City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Jamestown,US,42.097,-79.2353,84.06,48,0,4.0,clear sky
80,Sukabumi,ID,-6.9181,106.9267,64.53,95,95,2.13,overcast clouds
81,Nantong,CN,32.0303,120.8747,84.97,63,100,7.23,overcast clouds
82,Kavieng,PG,-2.5744,150.7967,82.26,77,29,10.18,light rain
83,Ilulissat,GL,69.2167,-51.1,50.02,93,75,10.36,light rain
84,Esperance,AU,-33.8667,121.9,54.68,70,73,15.66,broken clouds
85,Yellowknife,CA,62.456,-114.3525,64.67,49,68,9.93,broken clouds
86,Kaeo,NZ,-35.1,173.7833,53.33,95,89,14.03,overcast clouds
87,Upernavik,GL,72.7868,-56.1549,42.44,94,100,19.69,overcast clouds
88,Kez,RU,57.8979,53.7152,58.48,89,100,4.76,overcast clouds
89,Puerto Carreno,CO,6.189,-67.4859,81.39,80,78,7.4,light rain
90,Saint-Pierre,RE,-21.3393,55.4781,69.91,73,20,6.91,few clouds
91,Meulaboh,ID,4.1363,96.1285,76.82,85,100,5.64,light rain
92,Hirara,JP,24.8,125.2833,82.67,89,20,8.05,few clouds
93,Holme,DK,56.1138,10.1725,60.37,92,96,13.71,overcast clouds
94,Yulara,AU,-25.2406,130.9889,53.58,39,6,8.7,clear sky
95,Narsaq,GL,60.9167,-46.05,52.21,69,48,5.28,scattered clouds
96,Saint-Philippe,RE,-21.3585,55.7679,65.79,84,46,14.54,light rain
97,Tuatapere,NZ,-46.1333,167.6833,39.22,89,13,3.89,few clouds
98,Salinopolis,BR,-0.6136,-47.3561,78.64,83,85,8.99,overcast clouds
99,Carballo,ES,43.213,-8.691,65.01,86,0,7.87,clear sky
100,Zemlyansk,RU,51.9041,38.7334,60.44,94,53,9.31,broken clouds
101,Dovolnoye,RU,54.4958,79.6671,53.01,94,29,7.16,scattered clouds
102,Linguere,SN,15.3953,-15.1193,83.73,69,99,12.88,overcast clouds
103,Mahajanga,MG,-15.7167,46.3167,70.16,56,1,10.51,clear sky
104,Tautira,PF,-17.7333,-149.15,75.65,79,17,8.72,light rain
105,Kapaa,US,22.0752,-159.319,84.18,72,16,5.99,few clouds
106,Mar Del Plata,AR,-38.0023,-57.5575,50.09,84,80,1.99,broken clouds
107,Vanimo,PG,-2.6741,141.3028,78.33,85,61,4.32,broken clouds
108,Kirkuk,IQ,35.4681,44.3922,87.98,18,0,5.32,clear sky
109,Margate,GB,51.3813,1.3862,63.9,82,74,1.99,broken clouds
110,Noumea,NC,-22.2763,166.4572,78.78,99,82,4.88,broken clouds
111,Salina Cruz,MX,16.1667,-95.2,84.96,71,100,6.22,overcast clouds
112,Naze,JP,28.3667,129.4833,77.56,79,32,6.58,scattered clouds
113,Hithadhoo,MV,-0.6,73.0833,81.68,72,100,8.25,overcast clouds
114,Banepa,NP,27.6298,85.5214,66.52,100,75,6.71,heavy intensity rain
115,Ondjiva,AO,-17.0667,15.7333,61.38,30,0,5.75,clear sky
116,Gat,IL,31.61,34.7642,79.48,100,1,1.97,clear sky
117,Asfi,MA,32.2994,-9.2372,76.53,75,68,15.97,broken clouds
118,Sakaraha,MG,-22.9,44.5333,59.27,70,3,4.7,clear sky
119,Sortavala,RU,61.7053,30.6918,64.08,81,18,5.61,few clouds
120,Belawan,ID,3.7755,98.6832,79.09,92,71,4.79,broken clouds
121,Ovsyanka,RU,55.9575,92.5519,51.22,96,57,4.92,broken clouds
122,Severo-Kurilsk,RU,50.6789,156.125,55.26,92,42,6.58,scattered clouds
123,New Norfolk,AU,-42.7826,147.0587,49.91,85,100,2.26,moderate rain
124,Port-Gentil,GA,-0.7193,8.7815,75.16,78,20,10.36,few clouds
125,Tecoanapa,MX,16.5167,-98.75,85.44,68,96,7.9,overcast clouds
126,Singarayakonda,IN,15.25,80.0333,80.76,79,100,4.43,moderate rain
127,Thompson,CA,55.7435,-97.8558,60.93,65,100,7.23,overcast clouds
128,Kenora,CA,49.8167,-94.4337,75.78,44,13,13.0,few clouds
129,Vardo,NO,70.3705,31.1107,49.98,93,20,3.44,few clouds
130,Jalu,LY,29.0331,21.5482,78.75,51,0,14.74,clear sky
131,Victoria,HK,22.2855,114.1577,86.38,84,53,3.0,broken clouds
132,Cienfuegos,CU,22.1461,-80.4356,89.73,56,29,7.61,light rain
133,Suihua,CN,46.6406,126.9969,66.72,81,6,6.91,clear sky
134,Golden,US,39.7555,-105.2211,99.55,20,40,8.05,scattered clouds
135,Palmer,US,42.1584,-72.3287,92.52,42,20,12.66,few clouds
136,Acarau,BR,-2.8856,-40.12,79.75,79,80,17.52,broken clouds
137,Lagoa,PT,39.05,-27.9833,72.18,91,100,8.66,overcast clouds
138,Fairbanks,US,64.8378,-147.7164,61.09,71,100,1.01,overcast clouds
139,Khandbari,NP,27.3747,87.2039,71.8,94,100,2.82,moderate rain
140,Esna,EG,25.2934,32.554,87.62,23,39,12.35,scattered clouds
141,Beringovskiy,RU,63.05,179.3167,47.61,85,100,10.67,overcast clouds
142,Yarmouth,US,41.7057,-70.2286,88.18,58,0,12.66,clear sky
143,Cieza,ES,38.24,-1.4199,81.61,47,6,4.92,clear sky
144,San Luis,AR,-33.295,-66.3356,60.44,48,22,3.56,few clouds
145,Ascension,US,30.2169,-90.9001,92.03,69,0,4.61,clear sky
146,Seaford,GB,50.7714,0.1027,64.45,82,67,7.0,broken clouds
147,Alice Springs,AU,-23.7,133.8833,44.15,53,1,0.0,clear sky
148,Dingle,PH,10.9995,122.6711,76.44,92,80,3.83,broken clouds
149,Verkhnevilyuysk,RU,63.4453,120.3167,63.52,87,100,3.8,overcast clouds
150,Pemba,MZ,-12.974,40.5178,72.3,83,40,4.61,scattered clouds
151,Pisco,PE,-13.7,-76.2167,60.85,82,75,5.75,mist
152,Seydi,TM,39.4816,62.9137,93.22,15,0,12.17,clear sky
153,Mount Isa,AU,-20.7333,139.5,38.97,70,0,0.0,clear sky
154,Port Elizabeth,ZA,-33.918,25.5701,59.31,78,100,5.01,overcast clouds
155,Deputatskiy,RU,69.3,139.9,52.05,48,96,6.8,overcast clouds
156,Cherskiy,RU,68.75,161.3,46.87,56,12,4.68,few clouds
157,Nizwa,OM,22.9333,57.5333,86.25,65,95,4.05,overcast clouds
158,Diffa,NE,13.3154,12.6113,86.13,57,84,5.64,broken clouds
159,Touros,BR,-5.1989,-35.4608,75.88,85,100,14.12,overcast clouds
160,Xam Nua,LA,20.4197,104.0439,66.49,100,93,1.1,overcast clouds
161,Sola,VU,-13.8833,167.55,80.78,77,52,14.47,broken clouds
162,Ponta Do Sol,PT,32.6667,-17.1,72.72,79,9,5.37,clear sky
163,Oranjemund,NA,-28.55,16.4333,54.36,93,84,7.94,broken clouds
164,Toora-Khem,RU,52.4675,96.11,48.97,94,99,1.39,overcast clouds
165,Tiksi,RU,71.6872,128.8694,46.13,80,89,7.36,overcast clouds
166,Eureka,US,40.8021,-124.1637,79.66,74,13,7.0,few clouds
167,Tiznit,MA,29.5833,-9.5,85.73,30,9,3.06,clear sky
168,Vung Tau,VN,10.346,107.0843,79.61,82,100,3.65,overcast clouds
169,Along,IN,28.1667,94.7667,75.97,83,100,1.61,overcast clouds
170,Podor,MR,16.6527,-14.9587,88.83,54,99,6.4,light rain
171,Kangaatsiaq,GL,68.3065,-53.4641,40.59,94,100,9.28,overcast clouds
172,Gravelbourg,CA,49.8834,-106.5512,82.83,32,66,14.45,broken clouds
173,Wajima,JP,37.4,136.9,74.25,89,100,18.05,overcast clouds
174,Marzuq,YE,14.4,46.4667,80.35,51,21,6.85,few clouds
175,Channel-Port Aux Basques,CA,47.5702,-59.1367,62.19,99,99,13.33,overcast clouds
176,Sumkino,RU,58.1108,68.3244,51.37,94,10,5.39,clear sky
177,Lebu,CL,-37.6167,-73.65,53.29,96,100,11.77,overcast clouds
178,Acton,GB,51.509,-0.2762,66.47,79,89,6.91,overcast clouds
179,Santa Ana,US,33.7456,-117.8678,97.65,54,20,11.5,few clouds
180,Portland,US,45.5234,-122.6762,79.29,54,0,8.05,clear sky
181,Alofi,NU,-19.0595,-169.9187,76.37,77,91,6.11,overcast clouds
182,Nantucket,US,41.2835,-70.0995,85.01,67,0,9.22,clear sky
183,Fortuna,US,40.5982,-124.1573,66.09,69,7,9.42,clear sky
184,Ozinki,RU,51.1786,49.6769,66.31,78,84,7.11,broken clouds
185,Hailar,CN,49.2,119.7,66.63,82,32,5.99,scattered clouds
186,Kupang,ID,-10.1667,123.5833,69.64,80,89,9.53,overcast clouds
187,Saint-Augustin,CA,51.226,-58.6502,58.68,87,100,13.62,overcast clouds
188,Lalibela,ET,12.0333,39.0333,61.97,75,3,3.0,clear sky
189,Medea,DZ,36.2642,2.7539,73.56,53,0,2.08,clear sky
190,Kuusamo,FI,65.9667,29.1833,59.04,82,20,3.44,few clouds
